id,type,subject,year,download_url,filename
2222,高考三級-法律廉政,公務員法(包括任用、服務與懲戒),97,https://lawyer.get.com.tw/exam/Download.ashx?iP=844&iDP=244&iS=141,97年_高考三級-法律廉政_公務員法(包括任用、服務與懲戒).pdf
2223,專技高考-律師,民法,97,https://lawyer.get.com.tw/exam/Download.ashx?iP=12553&iDP=6315&iS=3,97年_專技高考-律師_民法.pdf
2224,專技高考-律師,刑法,97,https://lawyer.get.com.tw/exam/Download.ashx?iP=12554&iDP=6315&iS=85,97年_專技高考-律師_刑法.pdf
2225,專技高考-律師,商事法與國際私法,97,https://lawyer.get.com.tw/exam/Download.ashx?iP=12555&iDP=6315&iS=155,97年_專技高考-律師_商事法與國際私法.pdf
2226,專技高考-律師,民事訴訟法,97,https://lawyer.get.com.tw/exam/Download.ashx?iP=12556&iDP=6315&iS=156,97年_專技高考-律師_民事訴訟法.pdf
2227,專技高考-律師,刑事訴訟法,97,https://lawyer.get.com.tw/exam/Download.ashx?iP=12557&iDP=6315&iS=88,97年_專技高考-律師_刑事訴訟法.pdf
2228,專技高考-律師,行政法與強制執行法,97,https://lawyer.get.com.tw/exam/Download.ashx?iP=12558&iDP=6315&iS=157,97年_專技高考-律師_行政法與強制執行法.pdf
2229,專技高考-律師,中華民國憲法,97,https://lawyer.get.com.tw/exam/Download.ashx?iP=12559&iDP=6315&iS=158,97年_專技高考-律師_中華民國憲法.pdf
2230,普考-法律廉政,刑事訴訟法概要,97,https://lawyer.get.com.tw/exam/Download.ashx?iP=754&iDP=242&iS=89,97年_普考-法律廉政_刑事訴訟法概要.pdf
2231,普考-法律廉政,刑法概要,97,https://lawyer.get.com.tw/exam/Download.ashx?iP=769&iDP=242&iS=90,97年_普考-法律廉政_刑法概要.pdf
2232,普考-法律廉政,行政法概要,97,https://lawyer.get.com.tw/exam/Download.ashx?iP=756&iDP=242&iS=35,97年_普考-法律廉政_行政法概要.pdf
2233,普考-法律廉政,公務員法(包括任用、服務與懲戒)概要,97,https://lawyer.get.com.tw/exam/Download.ashx?iP=784&iDP=242&iS=140,97年_普考-法律廉政_公務員法(包括任用、服務與懲戒)概要.pdf
2234,臺灣菸酒-法務人員,民法與民事訴訟法,97,https://lawyer.get.com.tw/exam/Download.ashx?iP=2371&iDP=7986&iS=154,97年_臺灣菸酒-法務人員_民法與民事訴訟法.pdf
2235,臺灣菸酒-法務人員,行政法,97,https://lawyer.get.com.tw/exam/Download.ashx?iP=2372&iDP=7986&iS=30,97年_臺灣菸酒-法務人員_行政法.pdf
2236,臺灣菸酒-法務人員,商事法,97,https://lawyer.get.com.tw/exam/Download.ashx?iP=2373&iDP=7986&iS=82,97年_臺灣菸酒-法務人員_商事法.pdf
2237,中華郵政-營運職-法務,民法及商事法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=1989&iDP=7902&iS=544,96年_中華郵政-營運職-法務_民法及商事法.pdf
2238,中華郵政-營運職-法務,郵政法規,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=1990&iDP=7902&iS=452,96年_中華郵政-營運職-法務_郵政法規.pdf
2239,中華電信-法務類專業職第一類專員,公司法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=2213&iDP=7921&iS=272,96年_中華電信-法務類專業職第一類專員_公司法.pdf
2240,中華電信-法務類專業職第一類專員,公司法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=2214&iDP=7921&iS=272,96年_中華電信-法務類專業職第一類專員_公司法.pdf
2241,特考三等-司法官,民法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12652&iDP=6331&iS=3,96年_特考三等-司法官_民法.pdf
2242,特考三等-司法官,民事訴訟法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12653&iDP=6331&iS=156,96年_特考三等-司法官_民事訴訟法.pdf
2243,特考三等-司法官,中華民國憲法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12654&iDP=6331&iS=158,96年_特考三等-司法官_中華民國憲法.pdf
2244,特考三等-司法官,刑法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12655&iDP=6331&iS=85,96年_特考三等-司法官_刑法.pdf
2245,特考三等-司法官,刑事訴訟法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12656&iDP=6331&iS=88,96年_特考三等-司法官_刑事訴訟法.pdf
2246,特考三等-司法官,行政法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12657&iDP=6331&iS=30,96年_特考三等-司法官_行政法.pdf
2247,特考三等-司法官,強制執行法與國際私法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12658&iDP=6331&iS=159,96年_特考三等-司法官_強制執行法與國際私法.pdf
2248,特考三等-司法官,商事法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12659&iDP=6331&iS=82,96年_特考三等-司法官_商事法.pdf
2249,特考三等-檢察事務官(財經實務組),證券交易法與商業會計法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12837&iDP=6364&iS=168,96年_特考三等-檢察事務官(財經實務組)_證券交易法與商業會計法.pdf
2250,特考三等-檢察事務官(財經實務組),審計學,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12838&iDP=6364&iS=16,96年_特考三等-檢察事務官(財經實務組)_審計學.pdf
2251,特考三等-檢察事務官(財經實務組),中級會計學,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12839&iDP=6364&iS=13,96年_特考三等-檢察事務官(財經實務組)_中級會計學.pdf
2252,特考三等-檢察事務官(財經實務組),稅務法規,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12840&iDP=6364&iS=8,96年_特考三等-檢察事務官(財經實務組)_稅務法規.pdf
2253,特考三等-檢察事務官(財經實務組),銀行實務,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12841&iDP=6364&iS=163,96年_特考三等-檢察事務官(財經實務組)_銀行實務.pdf
2254,特考三等-檢察事務官(財經實務組),刑法與刑事訴訟法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12842&iDP=6364&iS=125,96年_特考三等-檢察事務官(財經實務組)_刑法與刑事訴訟法.pdf
2255,特考三等-檢察事務官(偵查實務組),智慧財產權法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12831&iDP=6352&iS=165,96年_特考三等-檢察事務官(偵查實務組)_智慧財產權法.pdf
2256,特考三等-檢察事務官(偵查實務組),英文,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12832&iDP=6352&iS=166,96年_特考三等-檢察事務官(偵查實務組)_英文.pdf
2257,特考三等-檢察事務官(偵查實務組),刑法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12833&iDP=6352&iS=85,96年_特考三等-檢察事務官(偵查實務組)_刑法.pdf
2258,特考三等-檢察事務官(偵查實務組),刑事訴訟法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12834&iDP=6352&iS=88,96年_特考三等-檢察事務官(偵查實務組)_刑事訴訟法.pdf
